Name,Channel,Subscribers,Category
SvetRim,https://youtube.com/channel/UC_nwjo8vU0_iO1pyoRYY1jA/videos,15.4K,Entertainment
TheYamiks,https://youtube.com/channel/UCo6p2NdDfoUvH2Iw3O3ipPg/videos,69K,Games
Dfactor Longplays,https://youtube.com/channel/UCwLhYb4QDAzQfzbhAHGKjgQ/videos,49.2K,Games
SvettRim,https://youtube.com/channel/UCAygoTvM5rl5frbhwnxsrSA/videos,19.1K,People
TeX Дeи,https://youtube.com/channel/UCDgluDXj58j55WlnB9ArRwQ/videos,16.8K,
Feet Wonder,https://youtube.com/channel/UCjpa94LCUY6MQvuv58PHDOw/videos,25K,
1001 совет от доктора Косо…,https://youtube.com/channel/UCZp7xbOR8FTtJpgm7qGPXyQ/videos,79.1K,Education
FunFaceTV,https://youtube.com/channel/UCFYGOJvwTK0o2zswDqSW9TQ/videos,87.3K,Entertainment
Anna Zelencova,https://youtube.com/channel/UCt-mQxjym1zi2NvLEQHa21Q/videos,122K,People
Province LTV,https://youtube.com/channel/UCSVHvHoIVIZt1rcsrYMmllQ/videos,4.51K,
FAKTS,https://youtube.com/channel/UCZN0ss59hO_mEQEJoI9L89Q/videos,21.1K,Music
Lauris Reiniks,https://youtube.com/channel/UCCBPB26H9eZCxM0hkZfK5Qw/videos,69.4K,Entertainment
PRUSAX,https://youtube.com/channel/UCk-UhfJyQYh1BCyckWoohfQ/videos,14.4K,
Edgar Bro,https://youtube.com/channel/UCsbzc6NKF8LHmH8Yz1T_g9w/videos,9.68K,Games
Slance1,https://youtube.com/channel/UC1Tf4Y6Qs52qVHN0K51aJew/videos,10.8K,Music
Nastia Janena,https://youtube.com/channel/UC8c6amz-QDrB5xUgNawSHAg/videos,61.3K,Howto
